OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
COSMOS 2251,1993-036A,2025-04-02T09:06:19.929312,14.33115792,.0025477,74.0388,60.5902,209.5493,150.4220,0,U,22675,999,66129,.10432E-3,.261E-5,0
COSMOS 2251 DEB,1993-036E,2025-04-02T08:32:21.114816,14.32506184,.0014267,74.0354,67.9642,151.4710,329.2070,0,U,33757,999,84353,.90947E-4,.221E-5,0
COSMOS 2251 DEB,1993-036F,2025-04-02T10:04:56.841312,14.49529054,.0018024,74.0304,333.2018,111.3559,61.2293,0,U,33758,999,84617,.13823E-2,.5288E-4,0
COSMOS 2251 DEB,1993-036G,2025-04-02T12:31:56.768448,15.59860006,.0015874,73.9746,127.1115,305.1339,54.8390,0,U,33759,999,85313,.16057E-1,.1446839E-1,0
COSMOS 2251 DEB,1993-036H,2025-04-02T13:49:18.410592,14.35479643,.0020983,74.0339,27.8408,194.3571,338.8353,0,U,33760,999,84477,.20757E-3,.572E-5,0
COSMOS 2251 DEB,1993-036J,2025-04-02T12:47:22.240320,14.41663460,.0023414,74.0396,3.4473,153.2012,262.5321,0,U,33761,999,84570,.77713E-3,.2515E-4,0
COSMOS 2251 DEB,1993-036K,2025-04-02T07:11:56.531040,14.33573230,.0015475,74.0413,55.1596,187.7015,287.1861,0,U,33762,999,84401,.1025E-3,.258E-5,0
COSMOS 2251 DEB,1993-036M,2025-04-02T13:44:37.540608,14.38889153,.0021427,74.0360,21.7436,47.2701,125.3535,0,U,33764,999,84500,.66253E-3,.202E-4,0
COSMOS 2251 DEB,1993-036N,2025-04-02T01:04:43.112352,14.95277312,.00926,74.0142,332.6322,133.0643,343.1589,0,U,33765,999,85796,.20499E-2,.2465E-3,0
COSMOS 2251 DEB,1993-036P,2025-04-02T12:47:51.215424,14.34005043,.0064238,74.1876,236.2350,151.8660,208.5988,0,U,33766,999,84100,.14443E-2,.4105E-4,0
COSMOS 2251 DEB,1993-036R,2025-04-02T14:39:35.476128,13.58222746,.0368024,74.0665,269.9250,124.3064,309.0895,0,U,33768,999,79845,.12298E-2,.137E-4,0
COSMOS 2251 DEB,1993-036U,2025-04-02T07:51:37.135296,14.64354744,.0018423,74.0452,301.6324,53.5021,119.3802,0,U,33779,999,84796,.42639E-2,.22626E-3,0
COSMOS 2251 DEB,1993-036X,2025-04-02T13:20:24.526752,14.39657922,.0021308,74.0360,27.3170,163.0888,11.1952,0,U,33782,999,84467,.81088E-3,.2517E-4,0
COSMOS 2251 DEB,1993-036Z,2025-04-02T10:18:39.861792,15.26474403,.0031873,74.1645,333.8740,208.5814,324.3230,0,U,33784,999,86216,.45127E-2,.121358E-2,0
COSMOS 2251 DEB,1993-036AA,2025-04-02T13:59:22.252416,14.64957058,.0021488,73.8710,195.9698,198.1270,174.3581,0,U,33785,999,84778,.49796E-2,.26826E-3,0
COSMOS 2251 DEB,1993-036AE,2025-04-02T15:01:14.056032,13.88317562,.0242387,74.0637,158.5028,332.3685,139.1785,0,U,33789,999,81568,.83761E-3,.1243E-4,0
COSMOS 2251 DEB,1993-036AG,2025-04-02T13:21:56.439072,14.41620379,.0027965,74.1743,145.0629,44.7738,79.5311,0,U,33791,999,84387,.13661E-2,.4445E-4,0
COSMOS 2251 DEB,1993-036AH,2025-04-02T13:52:21.326304,13.45370243,.0431116,73.9013,31.1047,141.6705,29.4059,0,U,33792,999,79023,.10411E-2,.1061E-4,0
COSMOS 2251 DEB,1993-036AJ,2025-04-02T12:40:39.730368,14.26647866,.0079614,73.9818,251.4897,99.0104,328.5370,0,U,33793,999,83580,.15764E-2,.3916E-4,0
COSMOS 2251 DEB,1993-036AL,2025-04-02T08:03:28.051776,14.94519229,.0045341,74.0357,233.2613,26.6928,356.3632,0,U,33795,999,86209,.25057E-2,.27698E-3,0
COSMOS 2251 DEB,1993-036AN,2025-04-02T13:55:25.658112,14.56427360,.0065928,74.0473,157.3872,309.3100,167.3807,0,U,33797,999,85283,.78055E-3,.3541E-4,0
COSMOS 2251 DEB,1993-036AP,2025-04-02T10:33:25.556832,14.44252055,.0091143,74.0281,249.4108,72.8206,319.1441,0,U,33798,999,84922,.34023E-3,.1202E-4,0
COSMOS 2251 DEB,1993-036AQ,2025-04-02T15:15:01.910592,14.71939293,.0032611,74.0346,218.7570,357.0228,13.7695,0,U,33799,999,85064,.37439E-2,.23718E-3,0
COSMOS 2251 DEB,1993-036AW,2025-04-02T08:46:36.485184,14.57029237,.0062939,74.0305,74.9088,325.1146,34.5899,0,U,33805,999,85521,.69365E-3,.3176E-4,0
COSMOS 2251 DEB,1993-036BC,2025-04-02T11:35:46.968864,14.94768204,.004228,73.8401,105.2448,249.2663,233.4345,0,U,33811,999,86207,.29322E-2,.32561E-3,0
COSMOS 2251 DEB,1993-036BE,2025-04-02T10:01:17.812992,15.23183345,.0042565,74.0221,92.7211,230.4910,129.2523,0,U,33813,999,86666,.32258E-2,.79019E-3,0
COSMOS 2251 DEB,1993-036BG,2025-04-02T00:42:11.176128,14.83389463,.0032868,73.9700,333.4575,134.7306,0.9584,0,U,33815,999,84561,.57681E-2,.48077E-3,0
COSMOS 2251 DEB,1993-036BH,2025-04-02T13:38:33.882144,13.81389871,.0267969,73.8965,176.0774,237.1082,120.4001,0,U,33816,999,81163,.97807E-3,.134E-4,0
COSMOS 2251 DEB,1993-036BK,2025-04-02T00:25:33.910176,14.96865455,.0032258,74.0835,325.3411,35.2252,88.3401,0,U,33818,999,86034,.2555E-2,.29705E-3,0
COSMOS 2251 DEB,1993-036BL,2025-04-02T15:08:02.900832,14.31046390,.0091515,74.1802,309.0596,240.7487,182.6667,0,U,33819,999,83859,.96981E-3,.2649E-4,0
COSMOS 2251 DEB,1993-036BN,2025-04-02T08:19:21.096480,15.13107060,.0067918,74.0388,314.7991,62.4618,298.3454,0,U,33821,999,71140,.16628E-2,.3126E-3,0
COSMOS 2251 DEB,1993-036BP,2025-04-02T15:03:35.020224,14.11441716,.0156092,74.0730,281.5936,32.3807,31.2025,0,U,33822,999,82467,.23614E-2,.4775E-4,0
COSMOS 2251 DEB,1993-036BQ,2025-04-02T03:33:50.471712,13.98220774,.0210735,73.8098,235.1979,44.1752,126.4763,0,U,33823,999,82050,.70462E-3,.1189E-4,0
COSMOS 2251 DEB,1993-036BS,2025-04-02T14:39:49.732128,14.65911367,.0086897,73.9862,160.3219,191.4508,290.9432,0,U,33825,999,85151,.2823E-2,.16335E-3,0
COSMOS 2251 DEB,1993-036BT,2025-04-02T07:12:40.699584,14.47341244,.0095842,74.0641,166.4334,278.2194,153.0281,0,U,33826,999,84083,.38562E-2,.14966E-3,0
COSMOS 2251 DEB,1993-036BV,2025-04-02T11:20:13.563744,14.43358441,.0029387,74.0498,350.5157,131.7315,41.0219,0,U,33828,999,84643,.74443E-3,.2499E-4,0
COSMOS 2251 DEB,1993-036BX,2025-04-02T03:27:52.900128,14.73173281,.0048299,74.0371,7.9325,196.3978,278.1843,0,U,33830,999,85718,.12848E-2,.8418E-4,0
