epoch,flightNo,id,cosparLaunchNo,failure
1957-10-04T19:28:34+00:00,No. 1PS,4277,1957-001,False
1957-11-03T02:30:42+00:00,No. 2PS,2145,1957-002,False
1957-12-06T16:45:00+00:00,None,5430,1957-F01,True
1958-02-01T03:50:24+00:00,RS-29    UE,427,1958-001,False
1958-02-05T07:26:24+00:00,TV-3BU,5429,1958-F01,True
1958-03-05T18:28:48+00:00,RS/CC-26 UV,5431,1958-F02,True
1958-03-17T12:14:24+00:00,TV-4,410,1958-002,False
1958-03-26T17:31:12+00:00,RS-24    UT,428,1958-003,False
1958-04-27T09:07:12+00:00,B1-2,5432,1958-F03,True
1958-04-29T02:52:48+00:00,TV-5,5433,1958-F04,True
1958-05-15T06:57:36+00:00,B1-1,4278,1958-004,False
1958-05-28T03:50:24+00:00,SLV-1,5434,1958-F05,True
1958-06-26T05:02:24+00:00,SLV-2,5435,1958-F06,True
1958-07-25T00:00:00+00:00,1,5436,1958-F07,True
1958-07-26T15:07:12+00:00,RS/CC-44 TT,2146,1958-005,False
1958-08-12T00:00:00+00:00,2,5437,1958-F08,True
1958-08-17T12:14:24+00:00,127,5438,1958-F09,True
1958-08-22T00:00:00+00:00,3,5301,1958-F10,True
1958-08-24T06:14:24+00:00,RS/CC-47 HN,5439,1958-F11,True
1958-08-25T00:00:00+00:00,4,5440,1958-F12,True
1958-08-26T00:00:00+00:00,5,5302,1958-F13,True
1958-08-28T00:00:00+00:00,6,5303,1958-F14,True
1958-09-23T07:40:48+00:00,B1-3,5441,1958-F15,True
1958-09-26T15:38:00+00:00,None,5442,1958-F16,True
1958-10-11T08:38:24+00:00,130,461,1958-007,False
1958-10-11T21:36:00+00:00,B1-4,5443,1958-F17,True
1958-10-23T03:21:36+00:00,RS/CC-49 HE,5444,1958-F18,True
1958-11-08T07:26:24+00:00,129,5445,1958-F19,True
1958-12-04T18:14:24+00:00,B1-5,5299,1958-F20,True
1958-12-06T05:45:36+00:00,AM-11,462,1958-008,False
1958-12-18T23:02:24+00:00,10B,429,1958-006,False
1959-01-02T16:48:00+00:00,B1-6,404,1959-012,False
1959-01-21T00:00:00+00:00,None,5446,1959-F00,True
1959-02-17T15:50:24+00:00,SLV-4,2152,1959-001,False
1959-02-28T21:50:24+00:00,163/1022,424,1959-002,False
1959-03-03T05:16:48+00:00,AM-14,405,1959-013,False
1959-04-13T21:21:36+00:00,170/1018,4276,1959-003,False
1959-04-14T02:52:48+00:00,SLV-5,5447,1959-F01,True
1959-06-03T20:09:36+00:00,174/1020,5448,1959-F02,True
1959-06-18T08:08:00+00:00,None,5449,1959-F03,True
1959-06-22T20:16:00+00:00,None,5450,1959-F04,True
1959-06-25T22:47:45+00:00,None,5451,1959-F05,True
1959-07-16T17:37:03+00:00,None,5452,1959-F06,True
1959-08-07T14:24:00+00:00,134,2144,1959-004,False
1959-08-13T18:57:36+00:00,192/1029,425,1959-005,False
1959-08-15T00:28:48+00:00,AM-19B,5453,1959-F07,True
1959-08-19T19:26:24+00:00,200/1028,426,1959-006,False
1959-09-12T06:43:12+00:00,I1-7B,2165,1959-014,False
1959-09-17T14:38:24+00:00,136,5245,1959-F08,True
1959-09-18T05:16:48+00:00,SLV-7,403,1959-007,False
1959-10-04T00:43:12+00:00,I1-8,2207,1959-008,False
1959-10-13T15:36:00+00:00,AM-19A,2208,1959-009,False
1959-11-07T20:24:00+00:00,206/1051,2209,1959-010,False
1959-11-20T19:26:24+00:00,212/1050,2090,1959-011,False
1959-11-26T07:26:24+00:00,20D,5454,1959-F09,True
1960-02-04T18:57:36+00:00,218/1052,5455,1960-F01,True
1960-02-19T20:09:36+00:00,223/1054,5456,1960-F02,True
1960-02-26T17:31:12+00:00,29D/1008,5457,1960-F03,True
1960-03-11T12:57:36+00:00,219,4272,1960-001,False
1960-03-23T13:40:48+00:00,AM-19C,5458,1960-F04,True
1960-04-01T11:45:36+00:00,148,2210,1960-002,False
1960-04-13T12:00:00+00:00,257/AB002,2211,1960-003,False
1960-04-15T15:06:45+00:00,None,5285,1960-F05,True
1960-04-15T20:24:00+00:00,234/1055,7,1960-004,False
1960-04-16T16:04:48+00:00,L1-9A,5459,1960-F06,True
1960-05-13T09:21:36+00:00,144/D001,5460,1960-F07,True
1960-05-15T00:00:00+00:00,L1-11,4216,1960-005,False
1960-05-24T17:31:12+00:00,45D/1007,8,1960-006,False
1960-06-22T06:00:00+00:00,281/AB003,9,1960-007,False
1960-06-29T22:04:48+00:00,160/1053,5461,1960-F08,True
1960-07-28T09:36:00+00:00,L1-10,5462,1960-F09,True
1960-08-10T20:38:24+00:00,231/1057,10,1960-008,False
1960-08-12T09:36:00+00:00,270/D002,2128,1960-009,False
1960-08-18T19:55:12+00:00,237/1056,38,1960-010,False
1960-08-18T19:55:12+00:00,262/AB004,5463,1960-F10,True
1960-08-19T08:38:24+00:00,L1-12,2220,1960-011,False
1960-09-13T22:19:12+00:00,246/1058,2131,1960-012,False
1960-09-25T15:07:12+00:00,80D,5464,1960-F11,True
1960-10-04T17:45:36+00:00,293/AB005,2221,1960-013,False
