OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
FENGYUN 1C,1999-025A,2025-04-02T15:07:27.140736,14.24523663,.0015088,98.9044,155.1389,77.4953,48.3699,0,U,25730,999,33517,.16189E-2,.3715E-4,0
FENGYUN 1C DEB,1999-025X,2025-04-02T11:53:56.834880,12.95896484,.0568721,99.2296,187.1312,68.8223,309.0737,0,U,29733,999,85826,.21622E-2,.1259E-4,0
FENGYUN 1C DEB,1999-025Y,2025-04-02T10:21:40.746240,12.90326221,.0612746,99.1665,64.2759,234.5444,292.2522,0,U,29734,999,85267,.23715E-2,.1403E-4,0
FENGYUN 1C DEB,1999-025Z,2025-04-02T07:40:06.346560,12.73949536,.0711657,99.3887,49.9012,18.6226,343.9548,0,U,29735,999,84174,.91639E-2,.5426E-4,0
FENGYUN 1C DEB,1999-025AA,2025-04-02T13:17:12.956352,12.57062101,.0730303,99.4320,320.4650,23.4779,32.5031,0,U,29736,999,83350,.23326E-2,.104E-4,0
FENGYUN 1C DEB,1999-025AB,2025-04-02T05:53:55.262400,12.64930790,.0700599,99.5700,89.4513,329.4345,38.2528,0,U,29737,999,83650,.63513E-2,.3059E-4,0
FENGYUN 1C DEB,1999-025AC,2025-04-02T12:33:00.912672,12.59822165,.0860785,99.4344,305.7758,125.1317,243.3549,0,U,29738,999,83014,.43195E-2,.3141E-4,0
FENGYUN 1C DEB,1999-025AE,2025-04-01T18:28:23.128896,12.07843693,.0991921,99.0585,15.8759,346.2848,11.2962,0,U,29740,999,79856,.10947E-1,.4388E-4,0
FENGYUN 1C DEB,1999-025AF,2025-04-02T08:13:34.813920,12.00324957,.1017275,99.1886,38.8238,202.6793,318.2881,0,U,29741,999,49130,.20736E-2,.757E-5,0
FENGYUN 1C DEB,1999-025AN,2025-04-02T05:21:18.291168,11.84710463,.0789117,100.1341,85.8483,120.8645,247.2438,0,U,29748,999,75716,.59115E-1,.9284E-4,0
FENGYUN 1C DEB,1999-025AQ,2025-04-02T01:33:47.844576,14.09379446,.003492,98.7804,127.8188,301.2815,88.0000,0,U,29750,999,93486,.32443E-3,.526E-5,0
