OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
IRIDIUM 33,1997-051C,2025-04-02T14:17:36.414240,14.34835812,.0006653,86.3943,174.8347,339.9570,20.1364,0,U,24946,999,44190,.17574E-3,.518E-5,0
IRIDIUM 33 DEB,1997-051L,2025-04-02T11:31:21.823680,14.42581800,.0008812,86.4075,168.2323,273.3317,86.6876,0,U,33773,999,84681,.5506E-3,.1847E-4,0
IRIDIUM 33 DEB,1997-051N,2025-04-02T05:13:33.601728,14.40558596,.0011125,86.3684,158.1150,283.7314,138.5558,0,U,33775,999,84475,.93417E-3,.2995E-4,0
IRIDIUM 33 DEB,1997-051P,2025-04-02T12:34:35.983776,14.37711523,.001262,86.4118,187.4019,317.3163,53.1030,0,U,33776,999,84429,.48818E-3,.1488E-4,0
IRIDIUM 33 DEB,1997-051Q,2025-04-02T14:13:54.801696,14.53364698,.0009842,86.3812,145.5086,65.2601,294.9628,0,U,33777,999,84840,.94335E-3,.3944E-4,0
IRIDIUM 33 DEB,1997-051T,2025-04-02T14:52:38.527104,14.41226785,.0008369,86.3420,139.3786,288.7735,187.3904,0,U,33850,999,84491,.709E-3,.2308E-4,0
IRIDIUM 33 DEB,1997-051W,2025-04-02T11:29:14.005248,13.97859386,.0211193,85.9958,101.1552,295.6613,218.5018,0,U,33853,999,81792,.14318E-2,.2465E-4,0
IRIDIUM 33 DEB,1997-051AC,2025-04-02T13:45:26.881920,14.90965346,.0023975,86.3040,121.3414,169.2370,190.9375,0,U,33859,999,84730,.60576E-2,.60605E-3,0
IRIDIUM 33 DEB,1997-051AD,2025-04-02T13:53:43.121184,14.63011340,.0013149,86.3854,139.2924,124.0650,5.7125,0,U,33860,999,85001,.19882E-2,.1023E-3,0
IRIDIUM 33 DEB,1997-051AF,2025-04-02T13:51:30.212064,14.65420548,.0052979,86.4120,149.2140,216.9628,265.3718,0,U,33862,999,85096,.2831E-2,.1567E-3,0
IRIDIUM 33 DEB,1997-051AH,2025-04-02T13:40:21.550368,15.34612598,.0015524,86.2375,36.7254,137.9956,294.1826,0,U,33864,999,85317,.10698E-1,.377273E-2,0
IRIDIUM 33 DEB,1997-051AK,2025-04-02T13:51:29.010240,14.23541715,.0110535,86.3044,200.3555,254.5503,115.4650,0,U,33866,999,83192,.37273E-2,.9053E-4,0
IRIDIUM 33 DEB,1997-051AL,2025-04-02T11:42:50.868000,14.99137557,.0011715,86.3812,112.0925,229.4657,130.5555,0,U,33867,999,85658,.37995E-2,.46518E-3,0
IRIDIUM 33 DEB,1997-051AP,2025-04-02T11:10:42.805344,14.44262578,.0018791,86.3811,167.0554,309.5414,61.8771,0,U,33870,999,84465,.11966E-2,.4138E-4,0
IRIDIUM 33 DEB,1997-051AT,2025-04-02T14:51:33.240672,15.04304688,.0017038,86.2521,120.9549,108.1753,16.8123,0,U,33874,999,84234,.1072E-1,.152737E-2,0
IRIDIUM 33 DEB,1997-051BA,2025-04-02T08:45:28.605888,14.50632804,.0055454,86.3910,216.7116,299.0556,114.3820,0,U,33881,999,83803,.75541E-2,.30355E-3,0
IRIDIUM 33 DEB,1997-051BD,2025-04-02T14:06:15.254784,14.71157061,.0015788,86.3628,124.1403,114.9212,8.5362,0,U,33884,999,85111,.37331E-2,.23098E-3,0
IRIDIUM 33 DEB,1997-051BF,2025-04-02T12:06:29.045376,14.35697651,.0013836,86.3903,174.1578,7.6188,3.1455,0,U,33886,999,84404,.34118E-3,.1005E-4,0
IRIDIUM 33 DEB,1997-051BG,2025-04-02T12:59:21.090912,14.36915206,.0006483,86.2998,112.9082,13.7529,103.2404,0,U,33887,999,84514,.26153E-3,.793E-5,0
IRIDIUM 33 DEB,1997-051BN,2025-04-02T03:48:51.755904,14.52582667,.0016611,86.3920,163.9294,223.6445,165.4331,0,U,33953,999,84605,.12781E-2,.5255E-4,0
IRIDIUM 33 DEB,1997-051BV,2025-04-02T08:47:09.286944,14.76273871,.0002776,86.2617,48.2457,119.5817,44.6531,0,U,33960,999,85105,.36651E-2,.25481E-3,0
IRIDIUM 33 DEB,1997-051CB,2025-04-02T14:43:16.438944,14.48280470,.0006299,86.3964,154.9483,353.7467,123.7762,0,U,33966,999,84762,.85892E-3,.3227E-4,0
IRIDIUM 33 DEB,1997-051CE,2025-04-02T14:36:18.361440,14.47938835,.0005533,86.3435,128.1576,220.3548,139.7245,0,U,34071,999,84655,.98939E-3,.3688E-4,0
IRIDIUM 33 DEB,1997-051CL,2025-04-02T14:39:27.085824,14.60044697,.0013555,86.3917,162.9132,161.6765,322.1468,0,U,34077,999,84619,.26921E-2,.12977E-3,0
IRIDIUM 33 DEB,1997-051CN,2025-04-02T08:11:09.564288,14.76025312,.0010432,86.3774,123.6235,129.9390,240.8606,0,U,34079,999,85216,.25681E-2,.17753E-3,0
IRIDIUM 33 DEB,1997-051CX,2025-04-02T14:28:57.345600,14.78434131,.0007115,86.3901,146.0734,65.7553,51.6785,0,U,34088,999,84973,.3884E-2,.28426E-3,0
IRIDIUM 33 DEB,1997-051DA,2025-04-02T12:30:59.008320,14.67991667,.0045763,86.3574,181.3196,110.9859,249.6261,0,U,34091,999,84125,.4928E-2,.28791E-3,0
IRIDIUM 33 DEB,1997-051DG,2025-04-02T02:10:26.223456,14.32264497,.0088147,86.1943,113.5875,108.1523,252.9294,0,U,34097,999,83471,.17705E-2,.5004E-4,0
IRIDIUM 33 DEB,1997-051DR,2025-04-02T12:07:03.228672,15.39680033,.0013403,86.3110,89.6158,112.5239,11.6949,0,U,34106,999,85384,.10926E-1,.457725E-2,0
